id,House,Hogsmeade_Visits,House_Allies,Curse_Mark,Owl_Posts,Quidditch_Attendance,Boggart_Fear,Time_in_Chamber,Corruption
7767,Ravenclaw,0.0,,True,1.0,0.0,,7.0,Vulnerable
7768,Slytherin,10.0,14.0,,6.0,6.0,No,3.0,Safe
7769,Ravenclaw,5.0,5.0,False,,3.0,No,2.0,Safe
7770,Ravenclaw,,3.0,,2.0,,Yes,8.0,Vulnerable
7771,Slytherin,3.0,4.0,,,1.0,Yes,7.0,Vulnerable
7772,Gryffindor,9.0,12.0,False,5.0,3.0,,3.0,Safe
7773,Slytherin,3.0,2.0,True,2.0,3.0,Yes,6.0,Vulnerable
7774,Slytherin,2.0,1.0,True,1.0,2.0,,,Vulnerable
7775,Gryffindor,9.0,6.0,False,6.0,6.0,No,4.0,Safe
7776,Hufflepuff,8.0,6.0,False,3.0,7.0,No,,Safe
7777,Hufflepuff,10.0,8.0,False,4.0,3.0,No,0.0,Safe
7778,Hufflepuff,6.0,7.0,False,,5.0,No,,Vulnerable
7779,Gryffindor,7.0,8.0,False,,,No,3.0,Vulnerable
7780,Ravenclaw,8.0,9.0,,,4.0,No,1.0,Safe
7781,Hufflepuff,5.0,12.0,False,4.0,7.0,No,,Safe
7782,Slytherin,4.0,4.0,,4.0,7.0,No,0.0,Safe
7783,Slytherin,,2.0,True,,2.0,Yes,6.0,Safe
7784,Ravenclaw,4.0,7.0,,8.0,3.0,No,2.0,Safe
7785,Hufflepuff,8.0,,,8.0,4.0,No,3.0,Safe
7786,Hufflepuff,9.0,10.0,False,8.0,7.0,No,4.0,Safe
7787,Gryffindor,6.0,11.0,False,5.0,3.0,No,0.0,Safe
7788,Hufflepuff,6.0,8.0,False,6.0,4.0,No,1.0,Vulnerable
7789,Slytherin,0.0,,,,2.0,Yes,4.0,Vulnerable
7790,Hufflepuff,10.0,9.0,False,6.0,6.0,No,3.0,Safe
7791,Hufflepuff,8.0,8.0,,7.0,5.0,No,1.0,Safe
7792,Gryffindor,1.0,5.0,,2.0,,Yes,10.0,Vulnerable
7793,Gryffindor,3.0,4.0,True,,,Yes,9.0,Vulnerable
7794,Ravenclaw,4.0,7.0,False,3.0,6.0,No,3.0,Safe
7795,Slytherin,4.0,11.0,False,3.0,3.0,No,1.0,Safe
7796,Slytherin,9.0,5.0,False,7.0,7.0,No,3.0,Safe
7797,Slytherin,1.0,1.0,True,,,Yes,8.0,Vulnerable
7798,Gryffindor,7.0,13.0,False,,7.0,No,0.0,Safe
7799,Ravenclaw,6.0,12.0,False,8.0,7.0,,3.0,Safe
7800,Gryffindor,,5.0,,0.0,,Yes,,Vulnerable
7801,Slytherin,0.0,,True,0.0,2.0,Yes,4.0,Safe
7802,Ravenclaw,9.0,8.0,,,3.0,No,2.0,Safe
7803,Ravenclaw,7.0,13.0,False,8.0,,No,1.0,Safe
7804,Gryffindor,,4.0,True,1.0,2.0,No,7.0,Vulnerable
7805,Slytherin,9.0,5.0,False,5.0,,No,2.0,Safe
7806,Slytherin,3.0,3.0,True,1.0,,Yes,10.0,Vulnerable
7807,Gryffindor,6.0,4.0,,9.0,6.0,No,2.0,Safe
7808,Ravenclaw,7.0,8.0,,7.0,4.0,No,0.0,Safe
7809,Slytherin,3.0,10.0,False,7.0,5.0,No,1.0,Safe
7810,Hufflepuff,10.0,10.0,,3.0,4.0,No,1.0,Safe
7811,Ravenclaw,6.0,13.0,False,6.0,4.0,,0.0,Safe
7812,Hufflepuff,,7.0,False,4.0,5.0,No,3.0,Vulnerable
7813,Slytherin,5.0,11.0,False,4.0,5.0,No,3.0,Safe
7814,Gryffindor,4.0,7.0,False,4.0,5.0,No,0.0,Safe
7815,Gryffindor,8.0,,False,9.0,5.0,No,2.0,Safe
7816,Slytherin,8.0,10.0,,,6.0,,2.0,Safe
7817,Ravenclaw,10.0,9.0,False,4.0,4.0,No,0.0,Safe
7818,Gryffindor,4.0,15.0,False,5.0,7.0,No,3.0,Safe
7819,Hufflepuff,7.0,,,3.0,4.0,No,3.0,Vulnerable
7820,Slytherin,4.0,7.0,,3.0,4.0,No,3.0,Vulnerable
7821,Ravenclaw,6.0,12.0,,7.0,6.0,No,2.0,Safe
7822,Slytherin,8.0,,False,3.0,3.0,,2.0,Safe
7823,Ravenclaw,6.0,13.0,False,4.0,4.0,,1.0,Safe
7824,Slytherin,0.0,2.0,,1.0,1.0,Yes,,Vulnerable
7825,Gryffindor,8.0,8.0,False,10.0,5.0,No,2.0,Safe
7826,Gryffindor,5.0,9.0,False,9.0,,No,2.0,Safe
7827,Ravenclaw,7.0,,False,,7.0,No,2.0,Safe
7828,Gryffindor,4.0,14.0,,6.0,5.0,No,,Safe
7829,Slytherin,2.0,0.0,True,1.0,,Yes,11.0,Safe
7830,Hufflepuff,5.0,14.0,False,7.0,5.0,No,1.0,Safe
7831,Slytherin,9.0,14.0,False,9.0,4.0,No,3.0,Safe
7832,Slytherin,7.0,8.0,,4.0,5.0,No,1.0,Safe
7833,Ravenclaw,8.0,,False,7.0,7.0,No,4.0,Safe
7834,Hufflepuff,7.0,8.0,,6.0,,No,0.0,Safe
7835,Ravenclaw,,10.0,False,6.0,5.0,No,2.0,Safe
7836,Slytherin,2.0,2.0,True,2.0,0.0,Yes,7.0,Vulnerable
7837,Ravenclaw,0.0,5.0,True,,0.0,Yes,5.0,Safe
7838,Gryffindor,8.0,7.0,,5.0,4.0,No,1.0,Safe
7839,Ravenclaw,5.0,,,4.0,5.0,No,2.0,Safe
7840,Slytherin,5.0,13.0,,5.0,6.0,No,1.0,Safe
7841,Gryffindor,9.0,,False,8.0,4.0,No,3.0,Safe
7842,Slytherin,8.0,,False,,3.0,No,0.0,Safe
7843,Hufflepuff,3.0,,True,2.0,1.0,Yes,4.0,Vulnerable
7844,Slytherin,8.0,10.0,,4.0,4.0,No,0.0,Safe
7845,Hufflepuff,8.0,11.0,False,9.0,4.0,No,0.0,Safe
7846,Ravenclaw,8.0,13.0,False,,,No,3.0,Safe
7847,Slytherin,9.0,8.0,,8.0,,No,1.0,Safe
7848,Gryffindor,3.0,12.0,False,,7.0,No,1.0,Safe
7849,Gryffindor,5.0,10.0,False,6.0,,No,1.0,Vulnerable
7850,Slytherin,8.0,7.0,False,4.0,4.0,No,0.0,Safe
7851,Ravenclaw,,3.0,True,,0.0,Yes,8.0,Vulnerable
7852,Slytherin,,7.0,,3.0,3.0,No,,Vulnerable
7853,Slytherin,6.0,8.0,False,9.0,6.0,No,0.0,Safe
7854,Slytherin,6.0,5.0,,9.0,,No,0.0,Safe
7855,Hufflepuff,10.0,13.0,,5.0,7.0,No,0.0,Safe
7856,Slytherin,7.0,15.0,False,,3.0,,2.0,Safe
7857,Slytherin,3.0,0.0,True,2.0,,,,Vulnerable
7858,Ravenclaw,8.0,10.0,False,4.0,7.0,No,,Safe
7859,Hufflepuff,0.0,0.0,True,,2.0,Yes,5.0,Safe
7860,Hufflepuff,8.0,12.0,False,6.0,3.0,No,0.0,Safe
7861,Gryffindor,5.0,,,8.0,6.0,No,3.0,Safe
7862,Gryffindor,4.0,8.0,False,,,No,0.0,Vulnerable
7863,Ravenclaw,3.0,14.0,False,7.0,6.0,No,3.0,Safe
7864,Hufflepuff,4.0,5.0,False,8.0,5.0,No,2.0,Safe
7865,Gryffindor,8.0,13.0,False,8.0,7.0,No,4.0,Safe
7866,Gryffindor,4.0,10.0,False,4.0,6.0,No,0.0,Safe
7867,Hufflepuff,9.0,4.0,,6.0,4.0,No,0.0,Safe
7868,Slytherin,8.0,15.0,False,10.0,6.0,No,2.0,Safe
7869,Gryffindor,4.0,5.0,False,3.0,6.0,No,3.0,Safe
7870,Gryffindor,8.0,15.0,False,6.0,6.0,No,0.0,Safe
7871,Hufflepuff,8.0,14.0,False,6.0,5.0,No,3.0,Safe
7872,Ravenclaw,9.0,,,7.0,4.0,No,3.0,Safe
7873,Hufflepuff,,12.0,False,3.0,,No,0.0,Safe
7874,Hufflepuff,4.0,11.0,,4.0,,,1.0,Safe
7875,Slytherin,4.0,11.0,False,,7.0,No,,Safe
7876,Hufflepuff,4.0,13.0,False,7.0,3.0,No,1.0,Safe
7877,Ravenclaw,9.0,9.0,,3.0,6.0,No,3.0,Safe
7878,Ravenclaw,4.0,14.0,False,7.0,5.0,No,,Safe
7879,Slytherin,,,,2.0,,,5.0,Vulnerable
7880,Hufflepuff,2.0,,True,2.0,1.0,,7.0,Vulnerable
7881,Ravenclaw,9.0,,False,,5.0,No,2.0,Vulnerable
7882,Slytherin,3.0,1.0,,2.0,,Yes,4.0,Vulnerable
7883,Slytherin,6.0,12.0,False,7.0,3.0,,3.0,Safe
7884,Gryffindor,3.0,,False,5.0,5.0,No,1.0,Safe
7885,Slytherin,4.0,11.0,,6.0,6.0,No,,Safe
7886,Gryffindor,4.0,8.0,False,3.0,3.0,No,0.0,Safe
7887,Gryffindor,4.0,9.0,False,8.0,3.0,No,,Safe
7888,Slytherin,0.0,2.0,True,2.0,,Yes,,Vulnerable
7889,Ravenclaw,5.0,6.0,False,5.0,5.0,No,,Vulnerable
7890,Gryffindor,6.0,13.0,False,4.0,7.0,No,0.0,Safe
7891,Gryffindor,2.0,,True,,2.0,Yes,6.0,Vulnerable
7892,Gryffindor,10.0,7.0,False,4.0,4.0,No,3.0,Safe
7893,Gryffindor,2.0,,True,1.0,,Yes,7.0,Vulnerable
7894,Hufflepuff,7.0,5.0,,6.0,7.0,No,3.0,Safe
7895,Hufflepuff,9.0,6.0,,6.0,4.0,No,1.0,Safe
7896,Ravenclaw,0.0,,True,0.0,,Yes,,Vulnerable
7897,Slytherin,,,True,,1.0,Yes,5.0,Vulnerable
7898,Hufflepuff,3.0,14.0,False,7.0,3.0,No,3.0,Safe
7899,Slytherin,1.0,2.0,True,,1.0,Yes,7.0,Vulnerable
7900,Hufflepuff,6.0,13.0,,5.0,6.0,No,,Safe
7901,Hufflepuff,,,False,5.0,6.0,No,,Vulnerable
7902,Hufflepuff,5.0,,False,9.0,3.0,No,3.0,Vulnerable
7903,Gryffindor,9.0,6.0,,7.0,7.0,No,,Safe
7904,Slytherin,6.0,5.0,False,4.0,5.0,,0.0,Safe
7905,Slytherin,,,True,,1.0,Yes,8.0,Vulnerable
7906,Gryffindor,4.0,6.0,False,,6.0,,3.0,Safe
7907,Ravenclaw,7.0,6.0,,6.0,6.0,No,2.0,Safe
7908,Ravenclaw,,12.0,,10.0,7.0,No,3.0,Safe
7909,Ravenclaw,8.0,10.0,False,9.0,,No,3.0,Safe
7910,Hufflepuff,4.0,15.0,False,8.0,6.0,,3.0,Safe
7911,Slytherin,0.0,4.0,,2.0,1.0,Yes,,Vulnerable
7912,Gryffindor,5.0,5.0,,3.0,3.0,No,,Safe
7913,Gryffindor,,11.0,False,9.0,7.0,No,1.0,Vulnerable
7914,Slytherin,7.0,7.0,False,6.0,6.0,No,1.0,Safe
7915,Ravenclaw,3.0,14.0,False,,6.0,No,2.0,Safe
7916,Ravenclaw,,,False,7.0,6.0,No,,Safe
7917,Hufflepuff,5.0,5.0,False,10.0,6.0,No,1.0,Safe
7918,Slytherin,3.0,,False,4.0,4.0,No,3.0,Vulnerable
7919,Slytherin,2.0,,True,,,Yes,6.0,Vulnerable
7920,Slytherin,5.0,,False,6.0,3.0,No,,Vulnerable
7921,Slytherin,1.0,,,,2.0,Yes,10.0,Vulnerable
7922,Slytherin,0.0,,True,2.0,0.0,,,Vulnerable
7923,Ravenclaw,5.0,6.0,,8.0,5.0,No,,Safe
7924,Hufflepuff,,14.0,,10.0,6.0,No,0.0,Safe
7925,Slytherin,2.0,3.0,,2.0,1.0,Yes,2.0,Vulnerable
7926,Gryffindor,6.0,14.0,False,3.0,6.0,No,2.0,Safe
7927,Hufflepuff,8.0,7.0,False,4.0,5.0,No,,Safe
7928,Slytherin,2.0,2.0,False,0.0,2.0,No,2.0,Safe
7929,Slytherin,3.0,3.0,True,1.0,1.0,Yes,,Vulnerable
7930,Ravenclaw,4.0,10.0,,3.0,3.0,No,3.0,Safe
7931,Gryffindor,5.0,5.0,False,9.0,,No,0.0,Vulnerable
7932,Slytherin,2.0,,True,0.0,1.0,Yes,6.0,Vulnerable
7933,Ravenclaw,3.0,10.0,False,3.0,4.0,No,,Safe
7934,Slytherin,,9.0,False,6.0,3.0,No,3.0,Vulnerable
7935,Hufflepuff,8.0,15.0,False,3.0,,No,2.0,Safe
7936,Hufflepuff,5.0,14.0,,9.0,5.0,No,0.0,Safe
7937,Ravenclaw,,7.0,,0.0,1.0,Yes,10.0,Vulnerable
7938,Slytherin,5.0,7.0,False,9.0,7.0,No,3.0,Safe
7939,Gryffindor,5.0,12.0,False,3.0,5.0,No,1.0,Safe
7940,Slytherin,2.0,3.0,True,3.0,0.0,Yes,7.0,Vulnerable
7941,Slytherin,,3.0,True,,,Yes,,Vulnerable
7942,Gryffindor,0.0,5.0,True,3.0,1.0,Yes,8.0,Vulnerable
7943,Ravenclaw,9.0,10.0,False,9.0,3.0,No,,Safe
7944,Slytherin,,3.0,True,,1.0,,,Vulnerable
7945,Gryffindor,1.0,3.0,True,,,Yes,,Vulnerable
7946,Hufflepuff,3.0,1.0,,1.0,2.0,,9.0,Vulnerable
7947,Gryffindor,2.0,5.0,,,1.0,Yes,4.0,Vulnerable
7948,Ravenclaw,7.0,12.0,False,10.0,5.0,No,3.0,Safe
7949,Slytherin,3.0,12.0,False,3.0,6.0,No,1.0,Safe
7950,Slytherin,7.0,,False,9.0,7.0,No,2.0,Safe
7951,Hufflepuff,5.0,8.0,False,8.0,4.0,,,Vulnerable
7952,Slytherin,,8.0,False,,4.0,No,2.0,Vulnerable
7953,Hufflepuff,3.0,5.0,,4.0,5.0,No,0.0,Safe
7954,Slytherin,3.0,7.0,False,7.0,5.0,No,3.0,Safe
7955,Gryffindor,0.0,3.0,,,0.0,Yes,,Vulnerable
7956,Slytherin,2.0,4.0,True,3.0,,Yes,8.0,Vulnerable
7957,Gryffindor,9.0,7.0,False,7.0,3.0,No,2.0,Safe
7958,Hufflepuff,6.0,,False,9.0,3.0,No,1.0,Safe
7959,Gryffindor,7.0,14.0,,,3.0,No,0.0,Safe
7960,Hufflepuff,5.0,,False,3.0,,No,2.0,Vulnerable
7961,Hufflepuff,8.0,,False,,4.0,No,2.0,Vulnerable
7962,Ravenclaw,9.0,10.0,False,9.0,3.0,No,1.0,Safe
7963,Gryffindor,9.0,,,9.0,3.0,No,2.0,Safe
7964,Hufflepuff,3.0,,,8.0,5.0,No,1.0,Safe
7965,Slytherin,8.0,14.0,,9.0,6.0,No,4.0,Safe
7966,Hufflepuff,6.0,13.0,False,7.0,4.0,No,,Safe
7967,Slytherin,4.0,7.0,False,6.0,5.0,,1.0,Safe
7968,Gryffindor,7.0,12.0,,,4.0,No,,Vulnerable
7969,Ravenclaw,5.0,,False,,6.0,No,3.0,Vulnerable
7970,Slytherin,9.0,14.0,False,7.0,7.0,No,2.0,Safe
7971,Ravenclaw,8.0,15.0,False,6.0,3.0,No,0.0,Safe
7972,Ravenclaw,8.0,13.0,False,5.0,,No,3.0,Safe
7973,Slytherin,3.0,5.0,False,,3.0,No,0.0,Safe
7974,Gryffindor,4.0,12.0,False,8.0,7.0,No,3.0,Safe
7975,Slytherin,7.0,9.0,,3.0,7.0,No,1.0,Safe
7976,Ravenclaw,8.0,9.0,False,9.0,6.0,No,,Safe
7977,Slytherin,0.0,2.0,True,1.0,,Yes,9.0,Vulnerable
7978,Gryffindor,6.0,,,8.0,4.0,No,3.0,Vulnerable
7979,Hufflepuff,4.0,8.0,False,8.0,,No,,Safe
7980,Slytherin,1.0,,True,0.0,2.0,Yes,5.0,Vulnerable
7981,Ravenclaw,5.0,10.0,False,7.0,5.0,,1.0,Safe
7982,Gryffindor,,7.0,False,6.0,7.0,No,,Safe
7983,Ravenclaw,5.0,,False,5.0,4.0,No,0.0,Vulnerable
7984,Hufflepuff,4.0,8.0,False,,,No,,Vulnerable
7985,Slytherin,1.0,1.0,,0.0,0.0,Yes,4.0,Vulnerable
7986,Ravenclaw,7.0,11.0,False,6.0,5.0,No,1.0,Safe
7987,Gryffindor,8.0,8.0,False,,5.0,No,3.0,Safe
7988,Slytherin,,4.0,True,0.0,1.0,Yes,6.0,Vulnerable
7989,Ravenclaw,7.0,8.0,False,10.0,6.0,No,2.0,Safe
7990,Ravenclaw,5.0,,False,8.0,4.0,No,0.0,Safe
7991,Slytherin,8.0,14.0,,6.0,4.0,No,,Safe
7992,Ravenclaw,3.0,,False,9.0,6.0,No,2.0,Safe
7993,Gryffindor,8.0,9.0,False,9.0,6.0,No,0.0,Safe
7994,Hufflepuff,9.0,12.0,False,7.0,5.0,No,1.0,Safe
7995,Gryffindor,9.0,9.0,False,6.0,5.0,No,2.0,Safe
7996,Slytherin,5.0,,False,7.0,5.0,No,2.0,Vulnerable
7997,Ravenclaw,5.0,,False,8.0,4.0,,1.0,Vulnerable
7998,Slytherin,4.0,5.0,,8.0,5.0,No,0.0,Safe
7999,Ravenclaw,4.0,14.0,False,6.0,3.0,No,1.0,Safe
8000,Slytherin,5.0,10.0,False,10.0,6.0,No,3.0,Safe
8001,Slytherin,6.0,11.0,False,,3.0,No,0.0,Safe
8002,Hufflepuff,,13.0,False,8.0,5.0,No,0.0,Vulnerable
8003,Slytherin,9.0,13.0,False,6.0,,No,2.0,Safe
8004,Slytherin,8.0,8.0,False,,5.0,No,0.0,Safe
8005,Hufflepuff,0.0,5.0,True,2.0,,Yes,,Vulnerable
8006,Hufflepuff,5.0,6.0,False,3.0,6.0,No,1.0,Safe
8007,Slytherin,,0.0,True,2.0,0.0,Yes,8.0,Vulnerable
8008,Hufflepuff,4.0,15.0,False,3.0,3.0,No,2.0,Safe
8009,Hufflepuff,4.0,12.0,,3.0,3.0,No,1.0,Safe
8010,Slytherin,4.0,14.0,False,7.0,5.0,No,1.0,Safe
8011,Hufflepuff,3.0,3.0,,2.0,,Yes,,Vulnerable
8012,Ravenclaw,5.0,5.0,,5.0,4.0,No,2.0,Vulnerable
8013,Gryffindor,10.0,9.0,False,6.0,5.0,No,3.0,Safe
8014,Slytherin,,5.0,,1.0,,Yes,9.0,Vulnerable
8015,Gryffindor,5.0,,,10.0,,No,1.0,Safe
8016,Hufflepuff,7.0,15.0,False,6.0,4.0,,2.0,Safe
8017,Slytherin,6.0,,False,,3.0,No,3.0,Vulnerable
8018,Hufflepuff,9.0,10.0,,4.0,,No,1.0,Safe
8019,Ravenclaw,3.0,1.0,,,0.0,Yes,5.0,Vulnerable
8020,Slytherin,8.0,9.0,,7.0,3.0,No,2.0,Safe
8021,Slytherin,9.0,7.0,False,5.0,5.0,No,2.0,Safe
8022,Ravenclaw,3.0,,True,1.0,3.0,Yes,11.0,Vulnerable
8023,Ravenclaw,8.0,10.0,,8.0,6.0,No,2.0,Safe
8024,Slytherin,,4.0,True,1.0,,,10.0,Vulnerable
8025,Hufflepuff,4.0,10.0,False,6.0,6.0,No,3.0,Safe
8026,Slytherin,4.0,12.0,False,3.0,,No,1.0,Safe
8027,Ravenclaw,9.0,,False,8.0,5.0,No,4.0,Safe
8028,Ravenclaw,9.0,4.0,,3.0,4.0,No,2.0,Safe
8029,Slytherin,8.0,5.0,False,3.0,7.0,No,2.0,Safe
8030,Hufflepuff,7.0,5.0,,9.0,3.0,No,,Safe
8031,Ravenclaw,9.0,11.0,False,5.0,7.0,No,3.0,Safe
8032,Slytherin,,5.0,False,,5.0,No,3.0,Vulnerable
8033,Slytherin,8.0,14.0,False,8.0,7.0,No,,Safe
8034,Hufflepuff,3.0,,,3.0,,Yes,10.0,Vulnerable
8035,Ravenclaw,,3.0,,0.0,,Yes,8.0,Vulnerable
8036,Slytherin,10.0,10.0,False,4.0,5.0,No,3.0,Safe
8037,Hufflepuff,8.0,12.0,,,4.0,No,3.0,Safe
8038,Gryffindor,3.0,5.0,True,1.0,2.0,Yes,8.0,Vulnerable
8039,Slytherin,3.0,5.0,True,0.0,3.0,,6.0,Vulnerable
8040,Gryffindor,7.0,6.0,False,6.0,4.0,No,,Safe
8041,Hufflepuff,4.0,12.0,False,5.0,,No,4.0,Vulnerable
8042,Slytherin,1.0,0.0,True,0.0,1.0,Yes,8.0,Vulnerable
8043,Slytherin,7.0,14.0,False,3.0,7.0,No,1.0,Safe
8044,Ravenclaw,6.0,14.0,False,5.0,7.0,No,2.0,Safe
8045,Slytherin,0.0,0.0,,2.0,1.0,Yes,5.0,Vulnerable
8046,Hufflepuff,3.0,,False,10.0,6.0,No,3.0,Safe
8047,Ravenclaw,5.0,6.0,,3.0,,No,,Vulnerable
8048,Slytherin,3.0,5.0,True,1.0,2.0,Yes,4.0,Vulnerable
8049,Ravenclaw,,15.0,,6.0,4.0,No,2.0,Safe
8050,Gryffindor,6.0,,False,8.0,6.0,No,2.0,Safe
8051,Slytherin,4.0,9.0,False,,4.0,No,0.0,Vulnerable
8052,Gryffindor,7.0,9.0,False,6.0,3.0,No,2.0,Safe
8053,Slytherin,4.0,,False,5.0,4.0,No,1.0,Vulnerable
8054,Ravenclaw,9.0,11.0,,6.0,3.0,No,2.0,Safe
8055,Slytherin,,3.0,True,3.0,0.0,Yes,7.0,Vulnerable
8056,Ravenclaw,2.0,5.0,True,1.0,3.0,Yes,5.0,Safe
8057,Slytherin,6.0,9.0,False,5.0,7.0,No,2.0,Safe
8058,Ravenclaw,5.0,6.0,False,3.0,,No,1.0,Safe
8059,Hufflepuff,5.0,12.0,False,7.0,3.0,,0.0,Safe
8060,Hufflepuff,7.0,12.0,,3.0,5.0,No,,Safe
8061,Slytherin,2.0,3.0,True,2.0,0.0,Yes,,Vulnerable
8062,Slytherin,,5.0,,2.0,,Yes,8.0,Vulnerable
8063,Ravenclaw,,,False,9.0,4.0,No,0.0,Safe
8064,Gryffindor,,9.0,False,9.0,6.0,No,1.0,Safe
8065,Gryffindor,7.0,13.0,False,6.0,,No,1.0,Safe
8066,Hufflepuff,,6.0,,7.0,6.0,No,0.0,Safe
8067,Slytherin,7.0,15.0,False,8.0,7.0,No,2.0,Safe
8068,Hufflepuff,7.0,9.0,False,8.0,5.0,No,,Safe
8069,Hufflepuff,6.0,7.0,False,9.0,4.0,No,1.0,Safe
8070,Slytherin,6.0,13.0,False,5.0,7.0,No,2.0,Safe
8071,Slytherin,6.0,,False,,,No,3.0,Vulnerable
8072,Slytherin,5.0,6.0,False,8.0,6.0,,4.0,Safe
8073,Hufflepuff,7.0,7.0,False,3.0,6.0,No,2.0,Safe
8074,Slytherin,9.0,12.0,,7.0,,No,1.0,Safe
8075,Gryffindor,9.0,8.0,,3.0,5.0,No,4.0,Safe
8076,Hufflepuff,8.0,15.0,False,6.0,4.0,No,2.0,Safe
8077,Gryffindor,9.0,12.0,False,,4.0,No,2.0,Safe
8078,Slytherin,2.0,5.0,True,2.0,0.0,Yes,,Vulnerable
8079,Gryffindor,8.0,11.0,False,9.0,4.0,No,1.0,Safe
8080,Ravenclaw,3.0,5.0,True,1.0,0.0,Yes,,Vulnerable
8081,Hufflepuff,0.0,,,0.0,0.0,Yes,9.0,Vulnerable
8082,Slytherin,9.0,8.0,False,5.0,7.0,No,3.0,Safe
8083,Slytherin,6.0,9.0,False,,3.0,No,3.0,Vulnerable
8084,Gryffindor,3.0,,,4.0,5.0,No,3.0,Safe
8085,Ravenclaw,6.0,8.0,,4.0,6.0,No,2.0,Safe
8086,Slytherin,3.0,3.0,,0.0,,,,Vulnerable
8087,Ravenclaw,9.0,11.0,False,10.0,7.0,No,3.0,Safe
8088,Slytherin,9.0,14.0,False,,7.0,No,4.0,Safe
8089,Gryffindor,,9.0,False,5.0,5.0,No,,Vulnerable
8090,Hufflepuff,9.0,5.0,False,7.0,4.0,No,1.0,Safe
8091,Ravenclaw,,14.0,False,3.0,6.0,No,0.0,Safe
8092,Gryffindor,8.0,13.0,False,,7.0,No,1.0,Vulnerable
8093,Ravenclaw,4.0,8.0,False,6.0,7.0,No,0.0,Safe
8094,Ravenclaw,5.0,15.0,,,3.0,,0.0,Safe
8095,Hufflepuff,4.0,8.0,False,10.0,6.0,No,2.0,Safe
8096,Slytherin,7.0,13.0,False,5.0,3.0,No,0.0,Safe
8097,Slytherin,0.0,,True,2.0,,,,Vulnerable
8098,Slytherin,4.0,13.0,False,7.0,,No,1.0,Safe
8099,Slytherin,4.0,7.0,False,3.0,7.0,No,4.0,Safe
8100,Ravenclaw,4.0,15.0,False,3.0,6.0,No,2.0,Safe
8101,Ravenclaw,3.0,10.0,,10.0,4.0,No,2.0,Safe
8102,Gryffindor,8.0,5.0,False,6.0,5.0,No,1.0,Safe
8103,Slytherin,5.0,11.0,False,3.0,4.0,No,0.0,Safe
8104,Gryffindor,0.0,5.0,True,0.0,2.0,,,Vulnerable
8105,Hufflepuff,1.0,5.0,True,,2.0,Yes,11.0,Vulnerable
8106,Ravenclaw,7.0,6.0,False,4.0,5.0,No,,Safe
8107,Gryffindor,7.0,,False,5.0,4.0,,3.0,Vulnerable
8108,Gryffindor,1.0,5.0,,2.0,,,9.0,Vulnerable
8109,Gryffindor,6.0,12.0,,4.0,6.0,No,2.0,Safe
8110,Hufflepuff,,4.0,True,0.0,1.0,Yes,9.0,Vulnerable
8111,Gryffindor,7.0,15.0,False,3.0,7.0,No,1.0,Safe
8112,Slytherin,0.0,0.0,True,3.0,2.0,Yes,8.0,Vulnerable
8113,Slytherin,9.0,14.0,,4.0,5.0,No,2.0,Vulnerable
8114,Hufflepuff,10.0,11.0,False,8.0,3.0,No,1.0,Safe
8115,Ravenclaw,9.0,11.0,False,,6.0,No,0.0,Safe
8116,Slytherin,7.0,,False,,7.0,No,0.0,Safe
8117,Slytherin,9.0,10.0,,8.0,4.0,No,1.0,Vulnerable
8118,Gryffindor,,15.0,False,4.0,7.0,No,0.0,Safe
8119,Ravenclaw,3.0,8.0,False,4.0,4.0,,3.0,Vulnerable
8120,Gryffindor,7.0,,False,,4.0,No,1.0,Vulnerable
8121,Ravenclaw,1.0,0.0,,0.0,1.0,Yes,11.0,Vulnerable
8122,Gryffindor,2.0,4.0,,,0.0,Yes,5.0,Vulnerable
8123,Slytherin,2.0,1.0,True,,,Yes,4.0,Vulnerable
8124,Slytherin,5.0,15.0,False,4.0,5.0,No,1.0,Safe
8125,Hufflepuff,8.0,12.0,False,6.0,6.0,No,0.0,Safe
8126,Slytherin,,13.0,,9.0,6.0,No,2.0,Safe
8127,Hufflepuff,9.0,9.0,False,,3.0,No,2.0,Safe
8128,Gryffindor,,7.0,,3.0,4.0,No,3.0,Vulnerable
8129,Ravenclaw,9.0,9.0,False,8.0,6.0,No,,Safe
8130,Slytherin,8.0,11.0,False,10.0,5.0,No,0.0,Safe
8131,Gryffindor,4.0,5.0,False,5.0,7.0,No,1.0,Safe
8132,Slytherin,9.0,14.0,,4.0,7.0,No,1.0,Safe
8133,Gryffindor,5.0,15.0,False,6.0,3.0,No,2.0,Safe
8134,Slytherin,6.0,14.0,False,9.0,3.0,No,3.0,Safe
8135,Hufflepuff,,9.0,False,8.0,4.0,No,,Vulnerable
8136,Hufflepuff,7.0,12.0,,6.0,7.0,No,1.0,Safe
8137,Gryffindor,,15.0,,5.0,3.0,No,0.0,Safe
8138,Gryffindor,2.0,,True,0.0,,Yes,4.0,Vulnerable
8139,Slytherin,,13.0,False,9.0,5.0,No,1.0,Safe
8140,Gryffindor,4.0,14.0,,9.0,5.0,No,3.0,Safe
8141,Hufflepuff,7.0,6.0,False,6.0,6.0,No,,Safe
8142,Gryffindor,8.0,6.0,,7.0,7.0,No,3.0,Safe
8143,Ravenclaw,0.0,3.0,True,2.0,,Yes,,Vulnerable
8144,Ravenclaw,6.0,8.0,,8.0,,No,4.0,Safe
8145,Slytherin,8.0,5.0,,7.0,4.0,No,0.0,Vulnerable
